fragment,statistic,n_ink,n_control,p_value,cliffs_delta,significant
Frag1,S1_variance,6472,79,3.335e-47,+0.943,True
Frag1,S2_kurtosis,6472,79,1.135e-10,-0.421,True
Frag1,S3_lag1_autocorr,6472,79,5.410e-34,+0.794,True
Frag1,S4_hf_fraction,6472,79,1.179e-23,-0.655,True
Frag2,S1_variance,7451,3869,8.692e-59,+0.185,True
Frag2,S2_kurtosis,7451,3869,nan,-0.068,False
Frag2,S3_lag1_autocorr,7451,3869,0.000e+00,+0.444,True
Frag2,S4_hf_fraction,7451,3869,2.295e-267,-0.400,True
Frag3,S1_variance,5733,33,5.303e-21,+0.948,True
Frag3,S2_kurtosis,5733,33,6.331e-05,-0.403,True
Frag3,S3_lag1_autocorr,5733,33,4.828e-21,+0.949,True
Frag3,S4_hf_fraction,5733,33,1.956e-15,-0.801,True
Frag4,S1_variance,830,830,3.662e-01,-0.026,False
Frag4,S2_kurtosis,830,830,4.243e-02,-0.058,False
Frag4,S3_lag1_autocorr,830,830,7.747e-02,+0.050,False
Frag4,S4_hf_fraction,830,830,1.368e-02,-0.070,False
Frag5,S1_variance,576,576,2.375e-01,-0.040,False
Frag5,S2_kurtosis,576,576,1.039e-07,+0.181,True
Frag5,S3_lag1_autocorr,576,576,4.727e-06,-0.156,True
Frag5,S4_hf_fraction,576,576,4.383e-05,+0.139,True
Frag6,S1_variance,2715,2381,1.206e-26,+0.173,True
Frag6,S2_kurtosis,2715,2381,1.796e-32,-0.192,True
Frag6,S3_lag1_autocorr,2715,2381,3.537e-34,+0.198,True
Frag6,S4_hf_fraction,2715,2381,2.118e-33,-0.195,True
