fragment,statistic,n_ink,n_control,p_value,cliffs_delta,significant
Frag1,S1_variance,1055,1055,3.734e-19,+0.225,True
Frag1,S2_kurtosis,1055,1055,9.462e-02,-0.042,False
Frag1,S3_lag1_autocorr,1055,1055,1.220e-18,+0.222,True
Frag1,S4_hf_fraction,1055,1055,4.106e-15,-0.197,True
Frag2,S1_variance,3273,3273,1.950e-22,+0.139,True
Frag2,S2_kurtosis,3273,3273,3.862e-06,+0.066,True
Frag2,S3_lag1_autocorr,3273,3273,6.421e-01,-0.007,False
Frag2,S4_hf_fraction,3273,3273,3.296e-01,+0.014,False
Frag3,S1_variance,579,579,1.827e-06,+0.162,True
Frag3,S2_kurtosis,579,579,1.455e-02,-0.083,False
Frag3,S3_lag1_autocorr,579,579,3.973e-08,+0.186,True
Frag3,S4_hf_fraction,579,579,9.275e-08,-0.181,True
Frag4,S1_variance,830,830,3.662e-01,-0.026,False
Frag4,S2_kurtosis,830,830,4.243e-02,-0.058,False
Frag4,S3_lag1_autocorr,830,830,7.747e-02,+0.050,False
Frag4,S4_hf_fraction,830,830,1.368e-02,-0.070,False
Frag5,S1_variance,369,369,3.756e-02,-0.088,False
Frag5,S2_kurtosis,369,369,9.284e-03,+0.111,False
Frag5,S3_lag1_autocorr,369,369,7.747e-03,-0.113,False
Frag5,S4_hf_fraction,369,369,2.003e-02,+0.099,False
Frag6,S1_variance,851,851,4.748e-09,+0.164,True
Frag6,S2_kurtosis,851,851,8.894e-08,-0.150,True
Frag6,S3_lag1_autocorr,851,851,2.333e-18,+0.245,True
Frag6,S4_hf_fraction,851,851,3.324e-20,-0.258,True
